t,E1,Emass,Ebound,delta,5,6,Model,CFL,Res,nCells
0.5,0.009336542928702061,4.163336342344337e-17,4.560228598308954e-21,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL005,10,10.000000000000007
0.5,0.0033153455751501557,2.775557561562892e-17,3.61932706027801e-14,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL005,20,20.00000000000001
0.5,0.0008962116704510484,0.0,7.371880883511038e-14,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL005,40,39.99999999999968
0.5,0.00026647837090532675,8.049116928532385e-16,5.989525452911897e-16,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL005,80,80.00000000000341
0.5,0.00014975247726165347,1.5210055437364645e-14,2.2204460492503126e-16,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL005,160,159.99999999996922
0.5,4.9529292208802815e-05,5.0154325137441447e-14,8.470329472543003e-22,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL005,320,320.0000000002603
0.5,0.00857065198845281,5.551115123125784e-17,4.002671071928298e-14,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL01,10,10.000000000000007
0.5,0.0031119907440600118,2.775557561562892e-17,1.709743457922741e-14,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL01,20,20.00000000000001
0.5,0.0008374781514221142,1.1102230246251563e-16,9.769962616701376e-15,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL01,40,39.99999999999968
0.5,0.00025372259711616923,4.718447854656915e-16,1.6164847238542282e-13,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL01,80,80.00000000000341
0.5,0.00015482758998931873,1.5598633495983446e-14,6.058337979253116e-19,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL01,160,159.99999999996922
0.5,5.679457965740581e-05,2.5507373990762968e-14,2.2204460492503126e-16,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL01,320,320.0000000002603
0.5,0.007164766769883971,4.163336342344337e-17,2.8105435323603316e-14,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL02,10,10.000000000000007
0.5,0.0026046032469133357,4.163336342344337e-17,3.393723246254604e-15,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL02,20,20.00000000000001
0.5,0.0007351444578035583,2.775557561562892e-17,3.27194864751499e-15,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL02,40,39.99999999999968
