t,E1,Emass,Ebound,delta,5,6,Model,CFL,Res,nCells
0.5,0.005529029441315109,4.163336342344337e-17,8.506922090538437e-14,0.062121995607097774,198.0,0.005050505050505048,isoAlpha,CFL005,10,16.097357952321556
0.5,0.001650599058372718,1.3877787807814457e-17,3.0755421963378064e-14,0.030088627967210856,850.0,0.001176470588235295,isoAlpha,CFL005,20,33.23514788011444
0.5,0.0006514011010760878,6.10622663543836e-16,1.8360848945089007e-14,0.01471350682318831,3552.0,0.00028153153153153137,isoAlpha,CFL005,40,67.96476271883817
0.5,0.00026192228207286023,3.4694469519536146e-15,1.6350741821928861e-13,0.007267144849352045,14572.0,6.862475981334145e-05,isoAlpha,CFL005,80,137.60562376696842
0.5,0.00012556618421907578,2.1899149160731213e-14,2.117993578575661e-23,0.003624693762135384,58588.0,1.7068341639923633e-05,isoAlpha,CFL005,160,275.8853755995317
0.5,0.005254297928986624,6.93889390390723e-17,1.049024663113986e-14,0.062121995607097774,198.0,0.005050505050505048,isoAlpha,CFL01,10,16.097357952321556
0.5,0.0015636866237941833,4.163336342344337e-17,1.9895196601282805e-13,0.030088627967210856,850.0,0.001176470588235295,isoAlpha,CFL01,20,33.23514788011444
0.5,0.0006364879880435552,8.326672684688674e-17,2.604049156608836e-14,0.01471350682318831,3552.0,0.00028153153153153137,isoAlpha,CFL01,40,67.96476271883817
0.5,0.0002582311483267039,1.8041124150158798e-15,1.4586821835941586e-15,0.007267144849352045,14572.0,6.862475981334145e-05,isoAlpha,CFL01,80,137.60562376696842
0.5,0.00012397315670768273,1.5598633495983446e-14,4.7026001385956293e-20,0.003624693762135384,58588.0,1.7068341639923633e-05,isoAlpha,CFL01,160,275.8853755995317
0.5,0.004785716485746104,4.163336342344337e-17,4.624559383978804e-16,0.062121995607097774,198.0,0.005050505050505048,isoAlpha,CFL02,10,16.097357952321556
0.5,0.0014069517046401555,1.249000902703301e-16,7.706104268172983e-15,0.030088627967210856,850.0,0.001176470588235295,isoAlpha,CFL02,20,33.23514788011444
0.5,0.0005957870040225186,5.551115123125784e-17,2.3568357322239384e-15,0.01471350682318831,3552.0,0.00028153153153153137,isoAlpha,CFL02,40,67.96476271883817
