Method,Resolution,totalTime
isoAlpha,CFL005,0.081580918
isoAlpha,CFL005,0.282350989
isoAlpha,CFL005,1.115817411
isoAlpha,CFL005,5.480371575
isoAlpha,CFL005,40.015479402
isoAlpha,CFL01,0.042250132
isoAlpha,CFL01,0.13105429
isoAlpha,CFL01,0.591914272
isoAlpha,CFL01,3.250991353
isoAlpha,CFL01,20.512378691
isoAlpha,CFL02,0.020454256
isoAlpha,CFL02,0.068630985
isoAlpha,CFL02,0.302484489
isoAlpha,CFL02,1.749860123
isoAlpha,CFL02,10.259732502
isoAlpha,CFL05,0.008628963
isoAlpha,CFL05,0.030394492
isoAlpha,CFL05,0.115151019
isoAlpha,CFL05,0.706935538
isoAlpha,CFL05,4.207910426
plicRDF,CFL005,0.210982625
plicRDF,CFL005,0.643507694
plicRDF,CFL005,2.594932752
plicRDF,CFL005,11.201070624
plicRDF,CFL005,70.154280597
plicRDF,CFL01,0.105582833
plicRDF,CFL01,0.324710724
plicRDF,CFL01,1.285485727
plicRDF,CFL01,6.800732196
plicRDF,CFL01,36.632138062
plicRDF,CFL02,0.049980722
plicRDF,CFL02,0.166662057
plicRDF,CFL02,0.702349885
plicRDF,CFL02,3.358818008
plicRDF,CFL02,18.01820006
plicRDF,CFL05,0.020225113
plicRDF,CFL05,0.084156299
plicRDF,CFL05,0.334343538
plicRDF,CFL05,1.754183919
plicRDF,CFL05,12.059905062
MULES,CFL005,0.127401247
MULES,CFL005,0.376257449
MULES,CFL005,2.268061931
MULES,CFL005,24.196084239
MULES,CFL005,222.095931653
MULES,CFL01,0.057194899
MULES,CFL01,0.297740525
MULES,CFL01,1.260177271
MULES,CFL01,10.778353612
MULES,CFL01,108.417986384
MULES,CFL02,0.028822602
MULES,CFL02,0.099678009
MULES,CFL02,0.624580719
MULES,CFL02,5.647034634
MULES,CFL02,54.40477426
MULES,CFL05,0.01257346
MULES,CFL05,0.045927537
MULES,CFL05,0.247276543
MULES,CFL05,2.489677248
MULES,CFL05,22.907152407
