t,E1,Emass,Ebound,delta,5,6,Model,Res,nCells
8,0.06454371083314125,3.3306690738754696e-16,8.290640286730206e-15,0.03125,256.0,0.0009765625,isoAlpha,32,32.0
8,0.009868746418020857,1.1102230246251563e-16,4.336808689942018e-19,0.015625,1024.0,0.000244140625,isoAlpha,64,64.0
8,0.0018800168094844152,2.775557561562892e-17,5.4210108624275216e-20,0.0078125,4081.0,6.103515625e-05,isoAlpha,128,128.0
8,0.000499101863431774,4.0245584642661925e-16,9.350787687200872e-91,0.00390625,16385.0,1.52587890625e-05,isoAlpha,256,256.0
8,0.00010265134960239708,2.3037127760972002e-15,2.302907352143513e-08,0.001953125,65600.0,3.814697265625e-06,isoAlpha,512,512.0
8,0.044390643815179855,3.05311331771918e-16,4.302404441332622e-15,0.03125,256.0,0.0009765625,plicRDF,32,32.0
8,0.008300720095513187,1.52655665885959e-16,5.648079618938983e-25,0.015625,1024.0,0.000244140625,plicRDF,64,64.0
8,0.002231302642203645,1.3877787807814454e-16,2.7105054312137608e-20,0.0078125,4081.0,6.103515625e-05,plicRDF,128,128.0
8,0.0006081566248813022,6.938893903907228e-16,1.3552527156068804e-20,0.00390625,16385.0,1.52587890625e-05,plicRDF,256,256.0
8,0.00011880284679658594,3.6637359812630166e-15,7.403182604855823e-13,0.001953125,65600.0,3.814697265625e-06,plicRDF,512,512.0
8,0.11013979692464208,7.355227538141662e-16,0.008958230125678089,0.03125,256.0,0.0009765625,MULES,32,32.0
8,0.038807994445196045,4.163336342344337e-17,0.00016551513123674866,0.015625,1024.0,0.000244140625,MULES,64,64.0
8,0.010313869309080894,6.93889390390723e-17,0.004703322249467077,0.0078125,4081.0,6.103515625e-05,MULES,128,128.0
8,0.004112247779089593,5.551115123125783e-16,0.00020503714377149,0.00390625,16385.0,1.52587890625e-05,MULES,256,256.0
8,0.002004253683762182,1.1435297153639112e-14,0.00010545470463640848,0.001953125,65600.0,3.814697265625e-06,MULES,512,512.0
