t,E1,Emass,Ebound,delta,5,6,Model,Res,nCells
8,0.02849272985227864,4.718447854656915e-16,1.4732549079384608e-24,0.018472646804154672,565.0,0.0004436557231588285,isoAlpha,32,54.13409407985274
8,0.0053461431649424185,8.326672684688674e-17,1.7347234759768075e-18,0.009115401519649872,2332.0,0.00010799136069114476,isoAlpha,64,109.70443790592458
8,0.001383975114484012,2.636779683484747e-16,1.3552527156068804e-20,0.004533375227901955,9395.0,2.670512204240741e-05,isoAlpha,128,220.58619675803888
8,0.0002675434819829691,6.93889390390723e-17,3.623767737000164e-10,0.002261698798272431,37683.0,6.645666360966548e-06,isoAlpha,256,442.14552387074565
8,9.477012325598305e-05,1.8110513089197863e-14,3.2882787603938364e-09,0.0011295784426224274,150714.0,1.657627073691294e-06,isoAlpha,512,885.2860166828269
8,0.02585204835258993,4.85722573273506e-16,2.168404344971009e-19,0.018472646804154672,565.0,0.0004436557231588285,plicRDF,32,54.13409407985274
8,0.004260623381155984,1.942890293094024e-16,1.7347234759768075e-18,0.009115401519649872,2332.0,0.00010799136069114476,plicRDF,64,109.70443790592458
8,0.0012551703033720958,3.3306690738754696e-16,8.470329472543003e-22,0.004533375227901955,9395.0,2.670512204240741e-05,plicRDF,128,220.58619675803888
8,0.00031256624120525674,2.498001805406602e-16,1.5713884431774946e-09,0.002261698798272431,37683.0,6.645666360966548e-06,plicRDF,256,442.14552387074565
8,7.316616945868513e-05,1.2434497875801752e-14,1.1094207859699135e-09,0.0011295784426224274,150714.0,1.657627073691294e-06,plicRDF,512,885.2860166828269
8,0.05184729340418719,2.498001805406602e-16,1.1709563263684332e-05,0.018472646804154672,565.0,0.0004436557231588285,MULES,32,54.13409407985274
8,0.01488542061216136,1.249000902703301e-16,4.903900932809676e-05,0.009115401519649872,2332.0,0.00010799136069114476,MULES,64,109.70443790592458
8,0.00484763279895874,3.3306690738754696e-16,1.1040567390097069e-05,0.004533375227901955,9395.0,2.670512204240741e-05,MULES,128,220.58619675803888
8,0.0022476876303442936,2.7755575615628914e-16,0.003884693538656299,0.002261698798272431,37683.0,6.645666360966548e-06,MULES,256,442.14552387074565
8,0.0014187507904263362,1.7069679003611782e-15,0.006707953938432704,0.0011295784426224274,150714.0,1.657627073691294e-06,MULES,512,885.2860166828269
