LNormal_1,LNormal_Inf,LCentre_1,LCentre_Inf,delta,nCells,Model,Res
0.0368278711188835,0.00480688832899279,0.0296773639141232,0.0149270695235794,0.25,64.0,isoAlpha,8
0.0144252777524583,0.00147050453821179,0.0076198710309201,0.00374422303915674,0.125,256.0,isoAlpha,16
0.00597195610051371,0.000420142322589142,0.00192642643763596,0.000939290562148492,0.0625,1024.0,isoAlpha,32
0.00394256523835645,0.000204908849253082,0.000480501012507684,0.000234604731666216,0.03125,4096.0,isoAlpha,64
0.00275208805885641,0.00014816155476353,0.000120444230120365,5.87385900558375e-05,0.015625,16384.0,isoAlpha,128
0.00226293414001977,0.000137604771254622,3.02489468154143e-05,1.4667800454841e-05,0.0078125,65536.0,isoAlpha,256
0.00208417661396476,0.000128252955214668,7.5916201688897e-06,3.67008098179083e-06,0.00390625,262144.0,isoAlpha,512
0.00197625963029568,0.000125782595366264,1.89117086835111e-06,9.18195902181201e-07,0.001953125,1048576.0,isoAlpha,1024
0.0286862018411089,0.00231640999115976,0.0297334521585667,0.0150986961815995,0.25,64.0,plicRDF,8
0.00414600372328966,0.000374210368844918,0.00761998914677675,0.00377180744022482,0.125,256.0,plicRDF,16
0.00135105481698317,9.56329823200082e-05,0.00192642280774269,0.000943084578435669,0.0625,1024.0,plicRDF,32
0.000459484205084237,2.38331916095525e-05,0.000480501012507795,0.000235396046131041,0.03125,4096.0,plicRDF,64
0.000125721269821133,5.93700273422166e-06,0.000120444230120254,5.89181794557528e-05,0.015625,16384.0,plicRDF,128
4.13077248134774e-05,1.70514310847566e-06,3.02489468153588e-05,1.47109612717626e-05,0.0078125,65536.0,plicRDF,256
8.63805733386513e-06,3.70231664512393e-07,7.5901648894372e-06,3.68144135312145e-06,0.00390625,262144.0,plicRDF,512
1.99147737722782e-06,8.63391429700885e-08,1.88861375105542e-06,9.21078607494523e-07,0.001953125,1048576.0,plicRDF,1024
0.029862199535743,0.0038746087265257,0.0296502948361743,0.0150517943331583,0.25,64.0,gradAlpha,8
0.0141991434541767,0.00268246306263204,0.00761789337973806,0.00382466984226388,0.125,256.0,gradAlpha,16
0.0074952650240766,0.0024087547670898,0.00192578930984161,0.000960506643982837,0.0625,1024.0,gradAlpha,32
0.00812765228566414,0.00239732621298197,0.000480501012507961,0.00024031638062536,0.03125,4096.0,gradAlpha,64
0.00833288458211512,0.00239819335846955,0.000145338947213747,6.0043898146244e-05,0.015625,16384.0,gradAlpha,128
0.00836287555345949,0.00239091302825258,5.18954102713964e-05,1.53710504371967e-05,0.0078125,65536.0,gradAlpha,256
0.00838968138853957,0.00239469145655461,2.11813731750277e-05,4.49968845554846e-06,0.00390625,262144.0,gradAlpha,512
0.00839150498200414,0.00239523551123993,9.31067400000707e-06,1.55299714881946e-06,0.001953125,1048576.0,gradAlpha,1024
