Method,Resolution,totalTime
isoAlpha,x8,0.001095128
isoAlpha,x16,0.001897449
isoAlpha,x32,0.004182329
isoAlpha,x64,0.011204005
isoAlpha,x128,0.029044469
isoAlpha,x256,0.059268676
isoAlpha,x512,0.177919653
isoAlpha,x1024,0.651120399
plicRDF,x8,0.003436862
plicRDF,x16,0.006491234
plicRDF,x32,0.015832121
plicRDF,x64,0.033223191
plicRDF,x128,0.082074608
plicRDF,x256,0.180417956
plicRDF,x512,0.557970497
plicRDF,x1024,2.356059656
gradAlpha,x8,0.00128898
gradAlpha,x16,0.002479851
gradAlpha,x32,0.006975082
gradAlpha,x64,0.013085528
gradAlpha,x128,0.0268955
gradAlpha,x256,0.063755895
gradAlpha,x512,0.129692049
gradAlpha,x1024,0.362189002
