Method,Resolution,totalTime
isoAlpha,x8,0.001198725
isoAlpha,x16,0.002505966
isoAlpha,x32,0.009186217
isoAlpha,x64,0.014426571
isoAlpha,x128,0.036303684
isoAlpha,x256,0.12530764
isoAlpha,x512,0.567876705
plicRDF,x8,0.004413
plicRDF,x16,0.009103034
plicRDF,x32,0.026537993
plicRDF,x64,0.065340971
plicRDF,x128,0.158134313
plicRDF,x256,0.492238885
plicRDF,x512,1.510802296
gradAlpha,x8,0.00165104
gradAlpha,x16,0.003672927
gradAlpha,x32,0.00847227
gradAlpha,x64,0.020926436
gradAlpha,x128,0.051295974
gradAlpha,x256,0.116662561
gradAlpha,x512,0.27703748
