Method,Res,value,Error
algVoF_Brackbill,10,0.3008149074037762,L2
algVoF_Brackbill,23,0.1741327050796607,L2
algVoF_Brackbill,36,0.2489962293868809,L2
algVoF_Brackbill,49,0.1691723060851389,L2
algVoF_Brackbill,62,0.12262638140654458,L2
algVoF_Brackbill,75,0.13200341765735824,L2
algVoF_Brackbill,88,0.15586010589873353,L2
algVoF_Brackbill,101,0.17889265659507556,L2
algVoF_Brackbill,114,0.212609307323804,L2
algVoF_Brackbill,128,0.24992585369519987,L2
geoVoF_Brackbill,10,0.35942345639209555,L2
geoVoF_Brackbill,23,0.1922581648431511,L2
geoVoF_Brackbill,36,0.2688899827442496,L2
geoVoF_Brackbill,49,0.3772189066093346,L2
geoVoF_Brackbill,62,0.4586827433630905,L2
geoVoF_Brackbill,75,0.5655837434207439,L2
geoVoF_Brackbill,88,0.7258431163645811,L2
geoVoF_Brackbill,101,0.896478405811541,L2
geoVoF_Brackbill,114,1.087439845201386,L2
geoVoF_Brackbill,128,1.3509217091604837,L2
algVoF_Brackbill,10,0.9872140000000001,LMax
algVoF_Brackbill,23,0.46850800000000004,LMax
algVoF_Brackbill,36,0.6998300000000001,LMax
algVoF_Brackbill,49,0.8015139999999998,LMax
algVoF_Brackbill,62,0.686926,LMax
algVoF_Brackbill,75,0.6818540000000001,LMax
algVoF_Brackbill,88,0.735892,LMax
algVoF_Brackbill,101,0.76186,LMax
algVoF_Brackbill,114,0.9107679999999998,LMax
algVoF_Brackbill,128,0.9505572000000001,LMax
geoVoF_Brackbill,10,0.477742,LMax
geoVoF_Brackbill,23,0.441162,LMax
geoVoF_Brackbill,36,0.557022,LMax
geoVoF_Brackbill,49,0.7147159999999999,LMax
geoVoF_Brackbill,62,0.7012579999999999,LMax
geoVoF_Brackbill,75,0.825572,LMax
geoVoF_Brackbill,88,0.9618739999999999,LMax
geoVoF_Brackbill,101,1.08046,LMax
geoVoF_Brackbill,114,1.1946388000000001,LMax
geoVoF_Brackbill,128,1.336834,LMax
